date,total_posts,positive_posts,negative_posts,positive_pct,negative_pct,generated_at
2026-07-13,33618,511,524,49.37,50.63,2026-07-14T15:39:55.115808+09:00
2026-07-14,26766,475,487,49.38,50.62,2026-07-15T08:59:37.199089+09:00
2026-07-15,21327,373,371,50.13,49.87,2026-07-16T09:03:20.671719+09:00
2026-07-16,20914,355,328,51.98,48.02,2026-07-17T09:04:09.928385+09:00
2026-07-17,15482,213,279,43.29,56.71,2026-07-18T08:56:44.296770+09:00
2026-07-18,6798,131,127,50.78,49.22,2026-07-19T08:56:52.951787+09:00
2026-07-19,7514,126,129,49.41,50.59,2026-07-20T11:57:41.902358+09:00
